Campaign,Keyword,Match type
Leads-Search,換mon,Phrase
Leads-Search,換螢幕,Phrase
Leads-Search,換電池,Phrase
Leads-Search,換液晶,Phrase
Leads-Search,手機維修,Phrase
Leads-Search,手機服務,Phrase
Leads-Search,修手機,Phrase
Leads-Search,整手機,Phrase
Leads-Search,即場更換,Phrase
Leads-Search,phone repair,Phrase
Leads-Search,iphone repair,Phrase
Leads-Search,screen repair,Phrase
Leads-Search,battery replacement,Phrase
